"As Of Date","Futures Based On","Futures Month","Futures Year","Unfixed Call Sales (Contracts)","Sales Change From Previous Week","Unfixed Call Purchases (Contracts)","Purchases Change From Previous Week","Open Futures Contracts at Close","Open Change From Previous Week","Source File","DTE","MY"
"2025-12-26","March 2026","March","2026","20639","522","33206","-1419","179191","-3128","deaoncall010226.html","65","2025"
"2025-12-26","May 2026","May","2026","8750","-144","3610","71","48637","398","deaoncall010226.html","126","2025"
"2025-12-26","July 2026","July","2026","8874","132","3040","-9","35094","576","deaoncall010226.html","187","2025"
"2025-12-26","October 2026","October","2026","0","0","0","0","25","-1","deaoncall010226.html","279","2026"
"2025-12-26","December 2026","December","2026","6246","86","46028","309","35590","1563","deaoncall010226.html","340","2026"
"2025-12-26","March 2027","March","2027","1953","11","148","0","1241","711","deaoncall010226.html","430","2026"
"2025-12-26","May 2027","May","2027","565","-13","50","0","116","7","deaoncall010226.html","491","2026"
"2025-12-26","July 2027","July","2027","886","-16","0","0","175","3","deaoncall010226.html","552","2026"
"2025-12-26","December 2027","December","2027","265","0","1997","0","464","93","deaoncall010226.html","705","2027"
"2025-12-26","March 2028","March","2028","0","0","0","0","1","0","deaoncall010226.html","796","2027"
"2025-12-26","May 2028","May","2028","0","0","0","0","2","0","deaoncall010226.html","857","2027"
"2025-12-26","July 2028","July","2028","0","0","0","0","1","0","deaoncall010226.html","918","2027"
"2025-12-26","December 2028","December","2028","0","0","503","0","0","0","deaoncall010226.html","1071","2028"
"2025-12-26","December 2029","December","2029","0","0","445","0","0","0","deaoncall010226.html","1436","2029"
"2025-12-26","Totals","","","48178","578","89027","-1048","300537","222","deaoncall010226.html","",""
"2024-12-27","March 2025","March","2025","17792","-212","35806","206","132150","-3321","deaoncall010325.html","64","2024"
"2024-12-27","May 2025","May","2025","9539","60","4601","-468","47656","509","deaoncall010325.html","125","2024"
"2024-12-27","July 2025","July","2025","13265","193","1712","-30","27429","-1114","deaoncall010325.html","186","2024"
"2024-12-27","October 2025","October","2025","0","0","0","0","59","-1","deaoncall010325.html","278","2025"
"2024-12-27","December 2025","December","2025","4855","90","37959","-2","28002","294","deaoncall010325.html","339","2025"
"2024-12-27","March 2026","March","2026","1387","44","144","0","1179","3","deaoncall010325.html","429","2025"
"2024-12-27","May 2026","May","2026","437","39","50","0","216","8","deaoncall010325.html","490","2025"
"2024-12-27","July 2026","July","2026","464","26","0","0","112","0","deaoncall010325.html","551","2025"
"2024-12-27","October 2026","October","2026","0","0","0","0","1","0","deaoncall010325.html","643","2026"
"2024-12-27","December 2026","December","2026","88","0","2614","45","183","-3","deaoncall010325.html","704","2026"
"2024-12-27","March 2027","March","2027","132","0","0","0","0","0","deaoncall010325.html","794","2026"
"2024-12-27","May 2027","May","2027","88","0","0","0","0","0","deaoncall010325.html","855","2026"
"2024-12-27","July 2027","July","2027","44","0","0","0","0","0","deaoncall010325.html","916","2026"
"2024-12-27","Totals","","","48091","240","82886","-249","236987","-3625","deaoncall010325.html","",""
"2023-12-29","March 2024","March","2024","26159","159","21368","402","92771","-1963","deaoncall010424.html","63","2023"
"2023-12-29","May 2024","May","2024","13113","16","3270","-14","42509","-316","deaoncall010424.html","124","2023"
"2023-12-29","July 2024","July","2024","17571","181","3135","-251","31802","1678","deaoncall010424.html","185","2023"
"2023-12-29","October 2024","October","2024","0","0","0","0","36","0","deaoncall010424.html","277","2024"
"2023-12-29","December 2024","December","2024","7854","39","31662","416","25145","-336","deaoncall010424.html","338","2024"
"2023-12-29","March 2025","March","2025","502","0","56","36","2735","15","deaoncall010424.html","428","2024"
"2023-12-29","May 2025","May","2025","525","0","17","0","39","0","deaoncall010424.html","489","2024"
"2023-12-29","July 2025","July","2025","431","0","4","0","27","1","deaoncall010424.html","550","2024"
"2023-12-29","December 2025","December","2025","498","0","3436","223","43","1","deaoncall010424.html","703","2025"
"2023-12-29","Totals","","","66653","395","62948","812","195107","-920","deaoncall010424.html","",""
"2022-12-30","March 2023","March","2023","32978","-6","17103","1878","96686","-704","deaoncall01052023.html","61","2022"
"2022-12-30","May 2023","May","2023","10888","2259","3180","588","35884","-166","deaoncall01052023.html","122","2022"
"2022-12-30","July 2023","July","2023","17223","-81","2049","14","31794","1749","deaoncall01052023.html","183","2022"
"2022-12-30","October 2023","October","2023","0","0","0","0","27","1","deaoncall01052023.html","275","2023"
"2022-12-30","December 2023","December","2023","9330","-969","17962","1603","24009","431","deaoncall01052023.html","336","2023"
"2022-12-30","March 2024","March","2024","585","0","1573","1353","4752","1868","deaoncall01052023.html","427","2023"
"2022-12-30","May 2024","May","2024","291","132","0","-220","857","0","deaoncall01052023.html","488","2023"
"2022-12-30","July 2024","July","2024","528","-883","220","-1198","435","1","deaoncall01052023.html","549","2023"
"2022-12-30","December 2024","December","2024","777","-143","4403","1308","1414","1","deaoncall01052023.html","702","2024"
"2022-12-30","March 2025","March","2025","0","-793","0","0","20","0","deaoncall01052023.html","792","2024"
"2022-12-30","May 2025","May","2025","0","-413","0","-819","2","0","deaoncall01052023.html","853","2024"
"2022-12-30","July 2025","July","2025","0","0","0","-1543","0","0","deaoncall01052023.html","914","2024"
"2022-12-30","May 2026","May","2026","0","0","0","-1027","0","0","deaoncall01052023.html","1218","2025"
"2022-12-30","Totals","","","72600","-897","46490","1937","195880","3181","deaoncall01052023.html","",""
"2021-12-31","March 2022","March","2022","50916","-855","9427","-390","120216","1050","deaoncall01062022.html","60","2021"
"2021-12-31","May 2022","May","2022","22280","752","2668","11","52927","2986","deaoncall01062022.html","121","2021"
"2021-12-31","July 2022","July","2022","48367","1057","5434","-27","26865","1862","deaoncall01062022.html","182","2021"
"2021-12-31","October 2022","October","2022","0","0","0","0","44","6","deaoncall01062022.html","274","2022"
"2021-12-31","December 2022","December","2022","13937","153","14275","-284","33200","420","deaoncall01062022.html","335","2022"
"2021-12-31","March 2023","March","2023","3024","44","782","2","2341","62","deaoncall01062022.html","425","2022"
"2021-12-31","May 2023","May","2023","1250","0","0","0","371","-10","deaoncall01062022.html","486","2022"
"2021-12-31","July 2023","July","2023","1302","0","44","0","224","-2","deaoncall01062022.html","547","2022"
"2021-12-31","December 2023","December","2023","2374","-66","5324","-9","3708","51","deaoncall01062022.html","700","2023"
"2021-12-31","July 2024","July","2024","0","0","220","0","0","0","deaoncall01062022.html","913","2023"
"2021-12-31","December 2024","December","2024","0","0","220","0","0","0","deaoncall01062022.html","1066","2024"
"2021-12-31","Totals","","","143450","1085","38394","-697","239896","6425","deaoncall01062022.html","",""
"2026-01-02","March 2026","March","2026","18662","-1977","32110","-1096","175055","-4136","deaoncall010826.html","58","2025"
"2026-01-02","May 2026","May","2026","8677","-73","3480","-130","51660","3023","deaoncall010826.html","119","2025"
"2026-01-02","July 2026","July","2026","8856","-18","3065","25","39887","4793","deaoncall010826.html","180","2025"
"2026-01-02","October 2026","October","2026","0","0","0","0","26","1","deaoncall010826.html","272","2026"
"2026-01-02","December 2026","December","2026","6334","88","46423","395","36324","734","deaoncall010826.html","333","2026"
"2026-01-02","March 2027","March","2027","2006","53","248","100","1251","10","deaoncall010826.html","423","2026"
"2026-01-02","May 2027","May","2027","565","0","50","0","112","-4","deaoncall010826.html","484","2026"
"2026-01-02","July 2027","July","2027","886","0","0","0","176","1","deaoncall010826.html","545","2026"
"2026-01-02","December 2027","December","2027","265","0","1997","0","468","4","deaoncall010826.html","698","2027"
"2026-01-02","March 2028","March","2028","0","0","0","0","1","0","deaoncall010826.html","789","2027"
"2026-01-02","May 2028","May","2028","0","0","0","0","2","0","deaoncall010826.html","850","2027"
"2026-01-02","July 2028","July","2028","0","0","0","0","1","0","deaoncall010826.html","911","2027"
"2026-01-02","December 2028","December","2028","0","0","503","0","0","0","deaoncall010826.html","1064","2028"
"2026-01-02","December 2029","December","2029","0","0","445","0","0","0","deaoncall010826.html","1429","2029"
"2026-01-02","Totals","","","46251","-1927","88321","-706","304963","4426","deaoncall010826.html","",""
"2025-01-03","March 2025","March","2025","16367","-1425","35495","-311","134825","2675","deaoncall011025.html","57","2024"
"2025-01-03","May 2025","May","2025","11617","2078","4767","166","48096","440","deaoncall011025.html","118","2024"
"2025-01-03","July 2025","July","2025","13337","72","1718","6","28239","810","deaoncall011025.html","179","2024"
"2025-01-03","October 2025","October","2025","0","0","0","0","78","19","deaoncall011025.html","271","2025"
"2025-01-03","December 2025","December","2025","4776","-79","38233","274","28138","136","deaoncall011025.html","332","2025"
"2025-01-03","March 2026","March","2026","1387","0","144","0","1203","24","deaoncall011025.html","422","2025"
"2025-01-03","May 2026","May","2026","437","0","50","0","232","16","deaoncall011025.html","483","2025"
"2025-01-03","July 2026","July","2026","464","0","0","0","112","0","deaoncall011025.html","544","2025"
"2025-01-03","October 2026","October","2026","0","0","0","0","2","1","deaoncall011025.html","636","2026"
"2025-01-03","December 2026","December","2026","401","313","3148","534","203","20","deaoncall011025.html","697","2026"
"2025-01-03","March 2027","March","2027","132","0","0","0","0","0","deaoncall011025.html","787","2026"
"2025-01-03","May 2027","May","2027","88","0","0","0","0","0","deaoncall011025.html","848","2026"
"2025-01-03","July 2027","July","2027","44","0","0","0","0","0","deaoncall011025.html","909","2026"
"2025-01-03","Totals","","","49050","959","83555","669","241128","4141","deaoncall011025.html","",""
"2024-01-05","March 2024","March","2024","25592","-567","21700","332","93917","1146","deaoncall011124.html","56","2023"
"2024-01-05","May 2024","May","2024","13766","653","3457","187","44020","1511","deaoncall011124.html","117","2023"
"2024-01-05","July 2024","July","2024","18068","497","3133","-2","35358","3556","deaoncall011124.html","178","2023"
"2024-01-05","October 2024","October","2024","0","0","0","0","121","85","deaoncall011124.html","270","2024"
"2024-01-05","December 2024","December","2024","8077","223","31499","-163","26242","1097","deaoncall011124.html","331","2024"
"2024-01-05","March 2025","March","2025","608","106","1026","970","2798","63","deaoncall011124.html","421","2024"
"2024-01-05","May 2025","May","2025","613","88","370","353","64","25","deaoncall011124.html","482","2024"
"2024-01-05","July 2025","July","2025","431","0","4","0","59","32","deaoncall011124.html","543","2024"
"2024-01-05","December 2025","December","2025","542","44","3550","114","43","0","deaoncall011124.html","696","2025"
"2024-01-05","March 2026","March","2026","88","88","0","0","0","0","deaoncall011124.html","786","2025"
"2024-01-05","Totals","","","67785","1132","64739","1791","202622","7515","deaoncall011124.html","",""
"2023-01-06","March 2023","March","2023","30316","-2662","16650","-453","93854","-2832","deaoncall01122023.html","54","2022"
"2023-01-06","May 2023","May","2023","11084","196","3768","588","38422","2538","deaoncall01122023.html","115","2022"
"2023-01-06","July 2023","July","2023","17261","38","2092","43","33393","1599","deaoncall01122023.html","176","2022"
"2023-01-06","October 2023","October","2023","0","0","0","0","29","2","deaoncall01122023.html","268","2023"
"2023-01-06","December 2023","December","2023","9496","166","18035","73","25579","1570","deaoncall01122023.html","329","2023"
"2023-01-06","March 2024","March","2024","629","44","1573","0","4645","-107","deaoncall01122023.html","420","2023"
"2023-01-06","May 2024","May","2024","291","0","0","0","857","0","deaoncall01122023.html","481","2023"
"2023-01-06","July 2024","July","2024","528","0","220","0","436","1","deaoncall01122023.html","542","2023"
"2023-01-06","December 2024","December","2024","880","103","4572","169","1418","4","deaoncall01122023.html","695","2024"
"2023-01-06","March 2025","March","2025","0","0","0","0","19","-1","deaoncall01122023.html","785","2024"
"2023-01-06","May 2025","May","2025","0","0","0","0","2","0","deaoncall01122023.html","846","2024"
"2023-01-06","Totals","","","70485","-2115","46910","420","198654","2774","deaoncall01122023.html","",""
"2022-01-07","March 2022","March","2022","49987","-929","9018","-409","117366","-2850","deaoncall01132022.html","53","2021"
"2022-01-07","May 2022","May","2022","22410","130","3054","386","55845","2918","deaoncall01132022.html","114","2021"
"2022-01-07","July 2022","July","2022","49891","1524","5705","271","30170","3305","deaoncall01132022.html","175","2021"
"2022-01-07","October 2022","October","2022","0","0","0","0","44","0","deaoncall01132022.html","267","2022"
"2022-01-07","December 2022","December","2022","14531","594","14016","-259","34773","1573","deaoncall01132022.html","328","2022"
"2022-01-07","March 2023","March","2023","3390","366","758","-24","2792","451","deaoncall01132022.html","418","2022"
"2022-01-07","May 2023","May","2023","1338","88","0","0","374","3","deaoncall01132022.html","479","2022"
"2022-01-07","July 2023","July","2023","1450","148","44","0","373","149","deaoncall01132022.html","540","2022"
"2022-01-07","December 2023","December","2023","2281","-93","5656","332","4206","498","deaoncall01132022.html","693","2023"
"2022-01-07","July 2024","July","2024","0","0","220","0","0","0","deaoncall01132022.html","906","2023"
"2022-01-07","December 2024","December","2024","0","0","220","0","0","0","deaoncall01132022.html","1059","2024"
"2022-01-07","Totals","","","145278","1828","38691","297","245943","6047","deaoncall01132022.html","",""
"2026-01-09","March 2026","March","2026","19751","1089","34206","2096","170678","-4377","deaoncall011526.html","51","2025"
"2026-01-09","May 2026","May","2026","9057","380","4086","606","58335","6675","deaoncall011526.html","112","2025"
"2026-01-09","July 2026","July","2026","9465","609","3275","210","49484","9597","deaoncall011526.html","173","2025"
"2026-01-09","October 2026","October","2026","0","0","0","0","25","-1","deaoncall011526.html","265","2026"
"2026-01-09","December 2026","December","2026","7103","769","46357","-66","39037","2713","deaoncall011526.html","326","2026"
"2026-01-09","March 2027","March","2027","2000","-6","298","50","1763","512","deaoncall011526.html","416","2026"
"2026-01-09","May 2027","May","2027","627","62","0","-50","162","50","deaoncall011526.html","477","2026"
"2026-01-09","July 2027","July","2027","887","1","0","0","221","45","deaoncall011526.html","538","2026"
"2026-01-09","December 2027","December","2027","265","0","1997","0","950","482","deaoncall011526.html","691","2027"
"2026-01-09","March 2028","March","2028","0","0","0","0","26","25","deaoncall011526.html","782","2027"
"2026-01-09","May 2028","May","2028","0","0","0","0","2","0","deaoncall011526.html","843","2027"
"2026-01-09","July 2028","July","2028","0","0","0","0","1","0","deaoncall011526.html","904","2027"
"2026-01-09","December 2028","December","2028","0","0","503","0","0","0","deaoncall011526.html","1057","2028"
"2026-01-09","December 2029","December","2029","0","0","445","0","0","0","deaoncall011526.html","1422","2029"
"2026-01-09","Totals","","","49155","2904","91167","2846","320684","15721","deaoncall011526.html","",""
"2025-01-10","March 2025","March","2025","14122","-2245","35772","277","134016","-809","deaoncall011625.html","50","2024"
"2025-01-10","May 2025","May","2025","11738","121","4842","75","46706","-1390","deaoncall011625.html","111","2024"
"2025-01-10","July 2025","July","2025","13032","-305","1798","80","37287","9048","deaoncall011625.html","172","2024"
"2025-01-10","October 2025","October","2025","0","0","0","0","86","8","deaoncall011625.html","264","2025"
"2025-01-10","December 2025","December","2025","5234","458","38390","157","29290","1152","deaoncall011625.html","325","2025"
"2025-01-10","March 2026","March","2026","1580","193","144","0","1247","44","deaoncall011625.html","415","2025"
"2025-01-10","May 2026","May","2026","543","106","50","0","238","6","deaoncall011625.html","476","2025"
"2025-01-10","July 2026","July","2026","464","0","0","0","112","0","deaoncall011625.html","537","2025"
"2025-01-10","October 2026","October","2026","0","0","0","0","1","-1","deaoncall011625.html","629","2026"
"2025-01-10","December 2026","December","2026","379","-22","4073","925","284","81","deaoncall011625.html","690","2026"
"2025-01-10","March 2027","March","2027","132","0","0","0","0","0","deaoncall011625.html","780","2026"
"2025-01-10","May 2027","May","2027","88","0","0","0","0","0","deaoncall011625.html","841","2026"
"2025-01-10","July 2027","July","2027","44","0","0","0","0","0","deaoncall011625.html","902","2026"
"2025-01-10","Totals","","","47356","-1694","85069","1514","249267","8139","deaoncall011625.html","",""
"2024-01-12","March 2024","March","2024","25466","-126","20704","-996","91447","-2470","deaoncall011824.html","49","2023"
"2024-01-12","May 2024","May","2024","14461","695","3543","86","45756","1736","deaoncall011824.html","110","2023"
"2024-01-12","July 2024","July","2024","18002","-66","3260","127","38886","3528","deaoncall011824.html","171","2023"
"2024-01-12","October 2024","October","2024","0","0","0","0","98","-23","deaoncall011824.html","263","2024"
"2024-01-12","December 2024","December","2024","8138","61","31615","116","26172","-70","deaoncall011824.html","324","2024"
"2024-01-12","March 2025","March","2025","608","0","1026","0","2948","150","deaoncall011824.html","414","2024"
"2024-01-12","May 2025","May","2025","613","0","353","-17","75","11","deaoncall011824.html","475","2024"
"2024-01-12","July 2025","July","2025","431","0","4","0","68","9","deaoncall011824.html","536","2024"
"2024-01-12","December 2025","December","2025","542","0","3550","0","66","23","deaoncall011824.html","689","2025"
"2024-01-12","March 2026","March","2026","88","0","0","0","0","0","deaoncall011824.html","779","2025"
"2024-01-12","Totals","","","68349","564","64055","-684","205516","2894","deaoncall011824.html","",""
"2023-01-13","March 2023","March","2023","27004","-3312","16854","204","88115","-5739","deaoncall01192023.html","47","2022"
"2023-01-13","May 2023","May","2023","12807","1723","4498","730","44353","5931","deaoncall01192023.html","108","2022"
"2023-01-13","July 2023","July","2023","18213","952","2216","124","36846","3453","deaoncall01192023.html","169","2022"
"2023-01-13","October 2023","October","2023","0","0","0","0","29","0","deaoncall01192023.html","261","2023"
"2023-01-13","December 2023","December","2023","9661","165","18202","167","26235","656","deaoncall01192023.html","322","2023"
"2023-01-13","March 2024","March","2024","757","128","1661","88","4653","8","deaoncall01192023.html","413","2023"
"2023-01-13","May 2024","May","2024","203","-88","0","0","779","-78","deaoncall01192023.html","474","2023"
"2023-01-13","July 2024","July","2024","528","0","220","0","442","6","deaoncall01192023.html","535","2023"
"2023-01-13","December 2024","December","2024","880","0","5048","476","1400","-18","deaoncall01192023.html","688","2024"
"2023-01-13","March 2025","March","2025","0","0","0","0","15","-4","deaoncall01192023.html","778","2024"
"2023-01-13","May 2025","May","2025","0","0","0","0","2","0","deaoncall01192023.html","839","2024"
"2023-01-13","Totals","","","70053","-432","48699","1789","202869","4215","deaoncall01192023.html","",""
"2022-01-14","March 2022","March","2022","47346","-2641","8819","-199","109228","-8138","deaoncall01202022.html","46","2021"
"2022-01-14","May 2022","May","2022","23503","1093","3095","41","58556","2711","deaoncall01202022.html","107","2021"
"2022-01-14","July 2022","July","2022","50746","855","5450","-255","37607","7437","deaoncall01202022.html","168","2021"
"2022-01-14","October 2022","October","2022","0","0","0","0","44","0","deaoncall01202022.html","260","2022"
"2022-01-14","December 2022","December","2022","17477","2946","15850","1834","35026","253","deaoncall01202022.html","321","2022"
"2022-01-14","March 2023","March","2023","3509","119","716","-42","3127","335","deaoncall01202022.html","411","2022"
"2022-01-14","May 2023","May","2023","1595","257","0","0","583","209","deaoncall01202022.html","472","2022"
"2022-01-14","July 2023","July","2023","1521","71","44","0","403","30","deaoncall01202022.html","533","2022"
"2022-01-14","December 2023","December","2023","2277","-4","5745","89","4596","390","deaoncall01202022.html","686","2023"
"2022-01-14","July 2024","July","2024","0","0","220","0","0","0","deaoncall01202022.html","899","2023"
"2022-01-14","December 2024","December","2024","0","0","220","0","0","0","deaoncall01202022.html","1052","2024"
"2022-01-14","Totals","","","147974","2696","40159","1468","249170","3227","deaoncall01202022.html","",""
"2026-01-16","March 2026","March","2026","19274","-477","33252","-954","174697","4019","deaoncall012226.html","44","2025"
"2026-01-16","May 2026","May","2026","10943","1886","4676","590","59202","867","deaoncall012226.html","105","2025"
"2026-01-16","July 2026","July","2026","10505","1040","3580","305","55563","6079","deaoncall012226.html","166","2025"
"2026-01-16","October 2026","October","2026","0","0","0","0","25","0","deaoncall012226.html","258","2026"
"2026-01-16","December 2026","December","2026","7507","404","48763","2406","42947","3910","deaoncall012226.html","319","2026"
"2026-01-16","March 2027","March","2027","2225","225","343","45","2142","379","deaoncall012226.html","409","2026"
"2026-01-16","May 2027","May","2027","715","88","0","0","365","203","deaoncall012226.html","470","2026"
"2026-01-16","July 2027","July","2027","887","0","0","0","444","223","deaoncall012226.html","531","2026"
"2026-01-16","December 2027","December","2027","265","0","4359","2362","1268","318","deaoncall012226.html","684","2027"
"2026-01-16","March 2028","March","2028","0","0","0","0","36","10","deaoncall012226.html","775","2027"
"2026-01-16","May 2028","May","2028","0","0","0","0","3","1","deaoncall012226.html","836","2027"
"2026-01-16","July 2028","July","2028","0","0","0","0","1","0","deaoncall012226.html","897","2027"
"2026-01-16","December 2028","December","2028","0","0","944","441","0","0","deaoncall012226.html","1050","2028"
"2026-01-16","December 2029","December","2029","0","0","445","0","0","0","deaoncall012226.html","1415","2029"
"2026-01-16","Totals","","","52321","3166","96362","5195","336693","16009","deaoncall012226.html","",""
"2025-01-17","March 2025","March","2025","14460","338","40629","4857","141737","7721","deaoncall012325.html","43","2024"
"2025-01-17","May 2025","May","2025","12344","606","6227","1385","51961","5255","deaoncall012325.html","104","2024"
"2025-01-17","July 2025","July","2025","14460","1428","2888","1090","44769","7482","deaoncall012325.html","165","2024"
"2025-01-17","October 2025","October","2025","0","0","0","0","93","7","deaoncall012325.html","257","2025"
"2025-01-17","December 2025","December","2025","6280","1046","42883","4493","31841","2551","deaoncall012325.html","318","2025"
"2025-01-17","March 2026","March","2026","1930","350","184","40","1438","191","deaoncall012325.html","408","2025"
"2025-01-17","May 2026","May","2026","543","0","50","0","253","15","deaoncall012325.html","469","2025"
"2025-01-17","July 2026","July","2026","464","0","0","0","132","20","deaoncall012325.html","530","2025"
"2025-01-17","October 2026","October","2026","0","0","0","0","1","0","deaoncall012325.html","622","2026"
"2025-01-17","December 2026","December","2026","379","0","4742","669","311","27","deaoncall012325.html","683","2026"
"2025-01-17","March 2027","March","2027","132","0","0","0","0","0","deaoncall012325.html","773","2026"
"2025-01-17","May 2027","May","2027","88","0","0","0","0","0","deaoncall012325.html","834","2026"
"2025-01-17","July 2027","July","2027","44","0","0","0","0","0","deaoncall012325.html","895","2026"
"2025-01-17","December 2027","December","2027","0","0","563","563","0","0","deaoncall012325.html","1048","2027"
"2025-01-17","December 2028","December","2028","0","0","503","503","0","0","deaoncall012325.html","1414","2028"
"2025-01-17","December 2029","December","2029","0","0","445","445","0","0","deaoncall012325.html","1779","2029"
"2025-01-17","Totals","","","51124","3768","99114","14045","272536","23269","deaoncall012325.html","",""
"2024-01-19","March 2024","March","2024","24723","-743","16635","-4069","92053","606","deaoncall012524.html","42","2023"
"2024-01-19","May 2024","May","2024","15169","708","3322","-221","52012","6256","deaoncall012524.html","103","2023"
"2024-01-19","July 2024","July","2024","18634","632","2996","-264","43307","4421","deaoncall012524.html","164","2023"
"2024-01-19","October 2024","October","2024","0","0","0","0","70","-28","deaoncall012524.html","256","2024"
"2024-01-19","December 2024","December","2024","8036","-102","31528","-87","27856","1684","deaoncall012524.html","317","2024"
"2024-01-19","March 2025","March","2025","572","-36","1051","25","3215","267","deaoncall012524.html","407","2024"
"2024-01-19","May 2025","May","2025","613","0","353","0","101","26","deaoncall012524.html","468","2024"
"2024-01-19","July 2025","July","2025","431","0","4","0","79","11","deaoncall012524.html","529","2024"
"2024-01-19","December 2025","December","2025","542","0","3616","66","66","0","deaoncall012524.html","682","2025"
"2024-01-19","March 2026","March","2026","88","0","0","0","0","0","deaoncall012524.html","772","2025"
"2024-01-19","Totals","","","68808","459","59505","-4550","218759","13243","deaoncall012524.html","",""
"2023-01-20","March 2023","March","2023","24415","-2589","15827","-1027","88016","-99","deaoncall01262023.html","40","2022"
"2023-01-20","May 2023","May","2023","14460","1653","5236","738","46807","2454","deaoncall01262023.html","101","2022"
"2023-01-20","July 2023","July","2023","18738","525","2323","107","36045","-801","deaoncall01262023.html","162","2022"
"2023-01-20","October 2023","October","2023","0","0","0","0","30","1","deaoncall01262023.html","254","2023"
"2023-01-20","December 2023","December","2023","9696","35","17963","-239","26725","490","deaoncall01262023.html","315","2023"
"2023-01-20","March 2024","March","2024","977","220","1673","12","4697","44","deaoncall01262023.html","406","2023"
"2023-01-20","May 2024","May","2024","264","61","0","0","775","-4","deaoncall01262023.html","467","2023"
"2023-01-20","July 2024","July","2024","528","0","220","0","444","2","deaoncall01262023.html","528","2023"
"2023-01-20","December 2024","December","2024","1144","264","5114","66","1554","154","deaoncall01262023.html","681","2024"
"2023-01-20","March 2025","March","2025","0","0","0","0","13","-2","deaoncall01262023.html","771","2024"
"2023-01-20","May 2025","May","2025","0","0","0","0","1","-1","deaoncall01262023.html","832","2024"
"2023-01-20","Totals","","","70222","169","48356","-343","205107","2238","deaoncall01262023.html","",""
"2022-01-21","March 2022","March","2022","43565","-3781","7173","-1646","104860","-4368","deaoncall01272022.html","39","2021"
"2022-01-21","May 2022","May","2022","24990","1487","3334","239","60487","1931","deaoncall01272022.html","100","2021"
"2022-01-21","July 2022","July","2022","51802","1056","5632","182","39142","1535","deaoncall01272022.html","161","2021"
"2022-01-21","October 2022","October","2022","0","0","0","0","44","0","deaoncall01272022.html","253","2022"
"2022-01-21","December 2022","December","2022","19164","1687","16860","1010","35447","421","deaoncall01272022.html","314","2022"
"2022-01-21","March 2023","March","2023","3239","-270","681","-35","3155","28","deaoncall01272022.html","404","2022"
"2022-01-21","May 2023","May","2023","1825","230","17","17","625","42","deaoncall01272022.html","465","2022"
"2022-01-21","July 2023","July","2023","1374","-147","44","0","520","117","deaoncall01272022.html","526","2022"
"2022-01-21","December 2023","December","2023","2168","-109","5782","37","5574","978","deaoncall01272022.html","679","2023"
"2022-01-21","July 2024","July","2024","0","0","0","-220","0","0","deaoncall01272022.html","892","2023"
"2022-01-21","December 2024","December","2024","0","0","0","-220","0","0","deaoncall01272022.html","1045","2024"
"2022-01-21","Totals","","","148127","153","39523","-636","249854","684","deaoncall01272022.html","",""
"2026-01-23","March 2026","March","2026","14435","-4839","31883","-1369","179321","4624","deaoncall012926.html","37","2025"
"2026-01-23","May 2026","May","2026","11817","874","4325","-351","63350","4148","deaoncall012926.html","98","2025"
"2026-01-23","July 2026","July","2026","11460","955","4154","574","56832","1269","deaoncall012926.html","159","2025"
"2026-01-23","October 2026","October","2026","0","0","0","0","26","1","deaoncall012926.html","251","2026"
"2026-01-23","December 2026","December","2026","8794","1287","50427","1664","44400","1453","deaoncall012926.html","312","2026"
"2026-01-23","March 2027","March","2027","2496","271","346","3","2352","210","deaoncall012926.html","402","2026"
"2026-01-23","May 2027","May","2027","737","22","0","0","598","233","deaoncall012926.html","463","2026"
"2026-01-23","July 2027","July","2027","904","17","0","0","495","51","deaoncall012926.html","524","2026"
"2026-01-23","December 2027","December","2027","265","0","6343","1984","1310","42","deaoncall012926.html","677","2027"
"2026-01-23","March 2028","March","2028","0","0","0","0","36","0","deaoncall012926.html","768","2027"
"2026-01-23","May 2028","May","2028","0","0","0","0","3","0","deaoncall012926.html","829","2027"
"2026-01-23","July 2028","July","2028","0","0","0","0","1","0","deaoncall012926.html","890","2027"
"2026-01-23","December 2028","December","2028","0","0","944","0","0","0","deaoncall012926.html","1043","2028"
"2026-01-23","December 2029","December","2029","0","0","445","0","0","0","deaoncall012926.html","1408","2029"
"2026-01-23","Totals","","","50908","-1413","98867","2505","348724","12031","deaoncall012926.html","",""
"2025-01-24","March 2025","March","2025","12250","-2210","35199","-5430","136129","-5608","deaoncall013025.html","36","2024"
"2025-01-24","May 2025","May","2025","11993","-351","6152","-75","55457","3496","deaoncall013025.html","97","2024"
"2025-01-24","July 2025","July","2025","13297","-1163","2218","-670","45708","939","deaoncall013025.html","158","2024"
"2025-01-24","October 2025","October","2025","0","0","0","0","69","-24","deaoncall013025.html","250","2025"
"2025-01-24","December 2025","December","2025","6223","-57","41578","-1305","34303","2462","deaoncall013025.html","311","2025"
"2025-01-24","March 2026","March","2026","1919","-11","224","40","1717","279","deaoncall013025.html","401","2025"
"2025-01-24","May 2026","May","2026","543","0","90","40","353","100","deaoncall013025.html","462","2025"
"2025-01-24","July 2026","July","2026","464","0","0","0","403","271","deaoncall013025.html","523","2025"
"2025-01-24","October 2026","October","2026","0","0","0","0","1","0","deaoncall013025.html","615","2026"
"2025-01-24","December 2026","December","2026","401","22","4786","44","373","62","deaoncall013025.html","676","2026"
"2025-01-24","March 2027","March","2027","88","-44","0","0","10","10","deaoncall013025.html","766","2026"
